method_name,num_params,line_number,num_calls,num_locals,num_returns,num_invocations,body_size,num_control_structures,full_name
next,2,Some(1200),6,0,1,6,27,1,org.apache.lucene.util.LuceneTestCase$SmartRandom.next:int(int)
<init>,2,Some(1217),2,0,0,2,14,0,org.apache.lucene.util.Nightly.<init>:void()
computeTestMethods,1,Some(1226),134,13,2,134,325,14,org.apache.lucene.util.LuceneTestCase$LuceneTestCaseRunner.computeTestMethods:java.util.List()
runChild,3,Some(1295),34,3,0,34,110,6,org.apache.lucene.util.LuceneTestCase$LuceneTestCaseRunner.runChild:void(org.junit.runners.model.FrameworkMethod,org.junit.runner.notification.RunNotifier)
<init>,2,Some(1327),9,2,0,9,36,2,org.apache.lucene.util.LuceneTestCase$LuceneTestCaseRunner.<init>:void(java.lang.Class)
compare,3,Some(1286),3,0,1,3,18,0,org.apache.lucene.util.LuceneTestCase$LuceneTestCaseRunner.computeTestMethods.Comparator$0.compare:int(org.junit.runners.model.FrameworkMethod,org.junit.runners.model.FrameworkMethod)
<init>,2,Some(1285),2,0,0,2,14,0,org.apache.lucene.util.LuceneTestCase$LuceneTestCaseRunner.computeTestMethods.Comparator$0.<init>:void()
testFailure,2,Some(1306),7,0,0,7,28,1,org.apache.lucene.util.LuceneTestCase$LuceneTestCaseRunner.runChild.RunListener$0.testFailure:void(org.junit.runner.notification.Failure)
<init>,4,Some(1305),6,0,0,6,28,0,org.apache.lucene.util.LuceneTestCase$LuceneTestCaseRunner.runChild.RunListener$0.<init>:void()
describe,1,Some(1332),0,0,1,0,10,0,org.apache.lucene.util.LuceneTestCase$LuceneTestCaseRunner.<init>.Filter$0.describe:java.util.String()
shouldRun,2,Some(1335),4,0,1,4,19,0,org.apache.lucene.util.LuceneTestCase$LuceneTestCaseRunner.<init>.Filter$0.shouldRun:boolean(org.junit.runner.Description)
<init>,2,Some(1330),2,0,0,2,14,0,org.apache.lucene.util.LuceneTestCase$LuceneTestCaseRunner.<init>.Filter$0.<init>:void()
alwaysIgnoredTestMethod,1,Some(1349),0,0,0,0,11,0,org.apache.lucene.util.LuceneTestCase.alwaysIgnoredTestMethod:void()
<init>,1,Some(110),15,1,0,15,41,0,org.apache.lucene.util.LuceneTestCase.<init>:void()
<clinit>,0,Some(110),93,1,0,93,222,0,org.apache.lucene.util.LuceneTestCase.<clinit>:void()
uncaughtException,3,Some(395),15,1,0,15,52,1,org.apache.lucene.util.LuceneTestCase.setUp.Thread.UncaughtExceptionHandler$0.uncaughtException:void(java.lang.Thread,java.lang.Throwable)
<init>,2,Some(394),2,0,0,2,14,0,org.apache.lucene.util.LuceneTestCase.setUp.Thread.UncaughtExceptionHandler$0.<init>:void()
close,1,Some(1130),4,0,0,4,17,0,org.apache.lucene.util.LuceneTestCase.newSearcher.AssertingIndexSearcher$0.close:void()
<init>,2,Some(1129),2,0,0,2,14,0,org.apache.lucene.util.LuceneTestCase.newSearcher.AssertingIndexSearcher$0.<init>:void()
failed,3,Some(351),29,0,0,29,85,5,org.apache.lucene.util.LuceneTestCase.intercept.TestWatchman$0.failed:void(java.util.Throwable,org.junit.runners.model.FrameworkMethod)
starting,2,Some(373),16,0,0,16,48,1,org.apache.lucene.util.LuceneTestCase.intercept.TestWatchman$0.starting:void(org.junit.runners.model.FrameworkMethod)
<init>,2,Some(349),2,0,0,2,14,0,org.apache.lucene.util.LuceneTestCase.intercept.TestWatchman$0.<init>:void()
<init>,1,Some(73),1,0,0,1,10,0,org.apache.lucene.index.ParallelReader.<init>:void()
<init>,2,Some(79),57,1,0,57,119,0,org.apache.lucene.index.ParallelReader.<init>:void(boolean)
toString,1,Some(86),15,2,1,15,46,2,org.apache.lucene.index.ParallelReader.toString:java.lang.String()
add,2,Some(103),2,0,0,2,15,0,org.apache.lucene.index.ParallelReader.add:void(java.util.IndexReader)
add,3,Some(118),71,5,0,71,190,7,org.apache.lucene.index.ParallelReader.add:void(java.util.IndexReader,boolean)
<init>,2,Some(163),8,0,0,8,24,0,org.apache.lucene.index.ParallelReader$ParallelFieldsEnum.<init>:void()
next,1,Some(167),17,0,1,17,51,2,org.apache.lucene.index.ParallelReader$ParallelFieldsEnum.next:java.lang.String()
